index,n_cells
Fam102a,704
Fam103a1,1129
Fam105b,795
Fam107b,937
Fam108a,1016
Fam108b,711
Fam108c,822
Fam110a,762
Fam114a2,932
Fam120a,1022
Fam122a,785
Fam125a,1065
Fam129b,891
Fam132a,598
Fam133b,788
Fam134a,906
Fam134b,603
Fam134c,710
Fam136a,806
Fam162a,1126
Fam165b,1038
Fam168b,873
Fam172a,615
Fam173a,1082
Fam174a,947
Fam188a,722
Fam18b,841
Fam192a,789
Fam195b,1000
Fam20b,666
Fam25c,642
Fam32a,1061
Fam36a,1043
Fam38a,729
Fam3c,680
Fam46a,630
Fam49b,864
Fam50a,761
Fam53a,720
Fam54b,773
Fam60a,699
Fam63a,750
Fam63b,868
Fam76a,700
Fam82a2,638
Fam83h,668
Fam84a,659
Fam89b,849
Fam92a,708
Fam96a,957
Fam96b,1046
Fam98a,604
Fam98c,713
Far1,690
Fars2,720
Farsa,754
Farsb,777
Fasn,768
Fastk,667
Fau,1196
Fbl,1127
Fbrs,665
Fbxl3,687
Fbxl5,684
Fbxo11,662
Fbxo22,669
Fbxo28,605
Fbxo3,668
Fbxo6,710
Fbxo9,650
Fbxw11,735
Fbxw2,892
Fbxw5,680
Fcf1,888
Fdft1,731
Fdps,961
Fdx1,1103
Fech,783
Fem1b,607
Fgfr1op2,1113
Fh1,984
Fibp,811
Fip1l1,860
Fis1,1183
Fkbp1a,1113
Fkbp2,1151
Fkbp3,1069
Fkbp4,1160
Fkbp8,1176
Flii,846
Flna,875
Flnb,800
Flot1,653
Fmr1,735
Fnbp1l,610
Fnbp4,627
Fndc3a,621
Fnip1,724
Fnta,1032
Fos,1137
Fosb,1013
Fosl1,744
Fosl2,888
Foxn3,811
Foxo1,604
Foxp1,1049
Foxp4,651
Frat2,741
Frg1,917
Fryl,752
Fth1,1196
Ftl1,1194
Ftsj3,767
Fubp1,983
Fuca1,1048
Fuca2,819
Fundc1,684
Fundc2,1124
Furin,738
Fus,1141
Fxc1,1117
Fxn,598
Fxr1,669
Fxr2,741
Fxyd3,814
Fyttd1,948
Fzr1,704
G3bp1,1166
G3bp2,1008
G6pc3,650
G6pdx,901
Gaa,630
Gabarap,1196
Gabarapl1,919
Gabarapl2,1168
Gadd45a,795
Gadd45b,823
Gadd45g,831
Gadd45gip1,1105
Gak,742
Gale,636
Galnt1,866
Galnt2,700
Ganab,838
Gapdh,1196
Gapvd1,763
Gar1,1057
Gars,969
Gas2l1,717
Gas5,1191
Gas6,838
Gatad1,939
Gatad2a,977
Gba,625
Gbas,643
Gbf1,688
Gclc,861
Gclm,807
Gcn1l1,635
Gcsh,779
Gde1,1021
Gdi1,735
Gdi2,1185
Gdpd1,628
Gemin7,1010
Get4,960
Gfer,736
Gga1,908
Ggh,870
Ggnbp2,1052
Ghitm,1172
Gipc1,1076
Gja1,628
Glo1,1079
Glod4,1066
Glrx,769
Glrx2,1031
Glrx3,1142
Glrx5,1148
Gls,776
Glt25d1,809
Gltp,1092
Gltscr2,1192
Glud1,1082
Glul,809
Glyr1,921
Gm15421,1150
Gm16517,879
Gm1821,1140
Gm2a,696
Gm561,815
Gm5617,679
Gm6222,1034
Gm6251,753
Gm6402,889
Gm6654,834
Gm9320,1057
Gm9781,681
Gmfb,905
Gmps,714
Gna11,795
Gna13,815
Gna15,696
Gnai2,1182
Gnai3,1080
Gnaq,700
Gnas,1196
